2015-07-26_09_32_54 Aptomy version 0.0.1 Gyroscope DATA
21174.80	-0.0305	-1.3809	6.0654
21175.82	-0.0153	-1.0071	5.0735
21176.81	0.4196	-0.2975	2.7618
21177.80	-0.0687	-1.3962	3.9673
21178.82	-0.0763	-1.1292	4.5166
21179.81	0.3281	-1.3809	4.6005
21180.80	0.1526	-1.0910	4.8828
21181.82	-0.7935	-0.9384	4.7760
21182.81	0.4730	-1.1063	4.0283
21183.80	-0.3204	-1.0910	3.7918
21184.82	0.0381	-1.3351	4.0970
21185.81	0.2136	-1.3885	4.8294
21186.81	0.3586	-1.1826	3.5553
21187.82	0.5722	-1.0757	4.4556
21188.82	1.6479	-1.2512	4.6005
21189.81	-1.0605	-1.3962	3.8605
21190.82	-0.2136	-1.3580	4.4708
21191.82	-0.0763	-1.3657	4.0283
21192.85	-0.0763	-1.0223	4.6844
21193.83	-1.1673	-1.3809	4.2267
21194.82	-0.2518	-2.0370	4.5929
21195.87	0.1221	-1.1292	4.2648
21196.83	0.8087	-6.0883	2.5330
21197.84	0.9079	-4.0131	3.7231
21198.87	-0.6180	-1.2589	3.8528
21199.83	-0.6180	-0.7172	4.4174
21200.90	-0.4044	-1.1444	4.4708
21201.86	0.7095	-1.0376	4.8904
21202.85	-0.1144	-1.1063	4.8447
21203.86	0.3586	-1.1902	4.7073
21204.86	-0.4349	-1.2741	3.8681
21205.85	-0.0153	-1.0834	4.4250
21206.87	0.3891	-1.1902	4.5700
21207.86	-0.1068	-1.3733	4.6616
21208.93	0.4196	-1.4038	4.9667
21209.88	-0.2594	-1.6174	4.8218
21210.88	0.4425	0.0381	3.2959
21211.85	-11.5585	28.7323	12.3138
21212.87	46.6919	-4.9896	-68.0542
21213.86	5.7526	-4.5853	5.8670
21214.86	2.3270	7.2632	16.1285
21215.87	-1.0529	-4.1809	-0.2747
21216.86	-0.3815	-2.0676	3.8605
21217.86	2.9449	-3.7613	4.0436
21218.87	-0.3967	-2.5177	4.1885
21219.86	0.0381	-0.2975	7.3166
21220.86	2.6550	5.0964	8.5602
21221.87	-2.1133	0.4654	6.1188
21222.87	0.1297	-4.6768	-4.6616
21223.88	5.8441	-1.6174	3.6392
21224.88	-0.1144	-1.4038	4.1046
21225.86	-1.1368	-5.0659	0.4196
21226.86	0.7172	-0.1755	2.6245
21227.87	0.2899	-1.6479	5.2032
21228.86	-0.6638	-1.9760	3.6850
21229.86	1.0300	-1.0376	5.4703
21230.87	-0.9155	0.4883	2.6474
21231.86	1.1902	-0.9460	4.2801
21232.86	-4.2343	2.3499	5.5618
21233.87	-3.2959	-0.0610	7.6981
21234.86	-0.3357	0.6638	1.5717
21235.86	-1.0300	-1.0834	7.5836
21236.87	-0.9689	1.0986	5.8670
21237.87	-0.7019	0.8316	0.0916
21238.86	-8.2016	15.4800	0.8850
21239.87	86.3876	-21.1563	0.8316
21240.87	-3.5324	-0.7324	-4.8294
21241.86	-22.6517	6.0120	1.4191
21242.87	-0.6714	-22.7966	-14.9002
21243.87	194.2062	-22.9187	64.8117
21244.86	-8.2397	22.3846	20.9808
21245.87	-4.8065	-3.8071	1.8997
21246.87	3.5324	-1.8921	5.7220
21247.86	1.6403	-0.9003	4.5700
21248.87	-0.2747	-1.8082	3.1204
21249.87	0.7172	1.3199	4.9362
21250.86	-0.8392	-1.3199	3.3569
21251.87	1.0223	-2.3270	4.8523
21252.87	1.0147	-1.5945	5.1270
21253.86	0.0076	-0.7553	3.4485
21254.87	0.3662	-1.2817	4.6844
21255.87	-7.3700	4.0512	3.0365
21256.86	-10.2081	-11.4288	0.1450
21257.87	-71.2967	11.9705	22.2855
21258.87	26.6418	1.7700	4.9286
21259.86	-48.2864	-16.3879	17.3416
21260.88	-0.6104	11.0626	14.3890
21261.87	-0.2441	-2.4490	2.4872
21262.86	2.7924	3.2501	1.3199
21263.88	-17.7536	-31.7307	43.2205
21264.87	-6.7444	7.7744	13.1226
21265.86	8.3542	26.2680	-68.3136
21266.88	4.5776	-1.8234	2.0447
21267.89	-0.6561	-3.2196	6.8588
21268.86	0.9155	-4.8676	4.0512
21269.88	0.5798	-0.7019	6.3019
21270.87	0.5875	-1.1520	4.8294
21271.86	1.3046	-0.9842	2.5024
21272.88	2.4261	-1.8005	1.3962
21273.87	-1.8005	-1.1063	3.8376
21274.86	-0.2747	-1.1978	4.4174
21275.88	1.6251	-1.2283	6.1646
21276.87	-0.5875	-1.1444	4.9133
21277.86	0.9689	-1.7014	3.3188
21278.88	0.0076	-0.4501	4.4327
21279.87	-1.0300	-0.8621	5.2338
21280.86	0.1678	-0.7935	2.7542
21281.88	-0.1831	-3.1586	3.9749
21282.87	3.2196	0.8316	6.6986
21283.86	-1.3123	-1.1139	7.5607
21284.88	-0.3891	-2.2812	2.0065
21285.87	7.0953	-3.3875	0.9460
21286.86	57.9758	79.4144	-235.2753
21287.88	-4.1351	-2.2125	27.7176
21288.87	-69.6640	19.8822	16.1743
21289.86	-0.7782	-3.2730	3.0518
21290.88	6.6071	3.8681	12.1155
21291.87	-0.5188	-0.0534	3.3493
21292.86	-2.5558	3.7918	-0.9155
21293.87	0.2747	-1.3351	9.2468
21294.86	1.5869	-1.6098	6.7444
21295.85	-1.9608	-2.8915	10.1013
21296.88	-1.8082	-1.2741	6.5460
21297.87	-1.0071	-1.8005	5.1575
21298.88	0.2899	-1.7395	6.1951
21299.88	-1.8311	0.6104	3.2501
21300.87	-1.0986	-1.8921	4.6463
21301.87	-2.6779	-4.8447	0.0534
21302.88	1.6708	-0.6866	3.9749
21303.87	-0.7248	-0.5341	2.7542
21304.88	-0.7477	-1.2970	5.1422
21305.88	0.4120	-1.3123	4.8447
21306.89	1.6251	-0.6485	5.2948
21307.86	1.8158	-2.1439	4.4785
21308.88	-0.6485	-1.1063	4.9515
21309.86	-0.4349	-1.1063	3.9139
21310.86	0.6180	-1.1826	4.6844
21311.98	0.3204	-1.3123	4.5700
21312.86	-0.2289	-1.4877	5.4321
21313.89	0.1755	-1.6251	4.6082
21314.88	0.1297	-1.1139	3.5248
21315.90	0.0458	-1.5564	4.7073
21316.89	-0.1984	-0.9766	4.7455
21317.87	0.0153	-1.5411	5.0888
21318.90	-0.2670	-1.4267	4.1733
21319.89	-0.1526	-0.8850	3.0289
21320.91	-0.3433	-1.0376	4.0131
21321.90	0.3357	-1.3580	4.2267
21322.89	-0.0687	-1.8692	4.6616
21323.91	0.5722	-1.2207	3.1357
21324.92	0.6638	-1.3733	4.0207
21325.91	-0.3510	-1.0986	4.1656
21326.92	0.4883	-1.5106	4.3564
21327.93	-0.9613	-1.9913	7.1487
21328.89	0.5264	-0.4959	4.1885
21329.98	-0.5188	-0.2747	4.0436
21330.90	-16.2277	6.0272	-2.1133
21331.93	6.4011	-12.9242	-5.2567
21332.93	-3.7003	-0.3128	-0.8469
21333.91	-0.4883	-0.5722	6.2180
21334.94	0.8011	-1.2589	6.5231
21335.93	0.7935	-2.5177	5.6305
21336.92	-0.7629	0.8163	6.4850
21337.94	0.5035	-1.2131	5.2872
21338.93	0.8469	-1.5793	5.8212
21339.93	0.0000	-1.4191	2.1667
